"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201401",39,32.5
"201402",29,33.5
"201403",33,35
"201404",47,37
"201405",40,37.25
"201406",30,37.5
"201407",42,39.75
"201408",37,37.25
"201409",44,38.25
"201410",35,39.5
"201411",29,36.25
"201412",50,39.5
"201413",48,40.5
"201414",37,41
"201415",46,45.25
"201416",36,41.75
"201417",28,36.75
"201418",24,33.5
"201419",23,27.75
"201420",27,25.5
"201421",18,23
"201422",23,22.75
"201423",32,25
"201424",29,25.5
"201425",19,25.75
"201426",35,28.75
"201427",28,27.75
"201428",30,28
"201429",26,29.75
"201430",26,27.5
"201431",30,28
"201432",30,28
"201433",29,28.75
"201434",22,27.75
"201435",28,27.25
"201436",24,25.75
"201437",33,26.75
"201438",26,27.75
"201439",27,27.5
"201440",23,27.25
"201441",40,29
"201442",31,30.25
"201443",25,29.75
"201444",26,30.5
"201445",26,27
"201446",22,24.75
"201447",22,24
"201448",21,22.75
"201449",27,23
"201450",25,23.75
"201451",31,26
"201452",33,29
"201453",26,28.75
"201501",30,30
"201502",37,31.5
"201503",24,29.25
"201504",34,31.25
"201505",30,31.25
"201506",48,34
"201507",36,37
"201508",24,34.5
"201509",31,34.75
"201510",33,31
"201511",38,31.5
"201512",26,32
"201513",35,33
"201514",39,34.5
"201515",27,31.75
"201516",25,31.5
"201517",34,31.25
"201518",33,29.75
"201519",42,33.5
"201520",35,36
"201521",23,33.25
"201522",37,34.25
"201523",35,32.5
"201524",32,31.75
"201525",31,33.75
"201526",48,36.5
"201527",35,36.5
"201528",40,38.5
"201529",32,38.75
"201530",33,35
"201531",27,33
"201532",25,29.25
"201533",27,28
"201534",20,24.75
"201535",24,24
"201536",32,25.75
"201537",28,26
"201538",23,26.75
"201539",37,30
"201540",26,28.5
"201541",22,27
"201542",33,29.5
"201543",18,24.75
"201544",35,27
"201545",28,28.5
"201546",28,27.25
"201547",29,30
"201548",21,26.5
"201549",29,26.75
"201550",36,28.75
"201551",32,29.5
"201552",26,30.75
"201601",42,34
"201602",37,34.25
"201603",36,35.25
"201604",47,40.5
"201605",40,40
"201606",70,48.25
"201607",82,59.75
"201608",81,68.25
"201609",87,80
"201610",68,79.5
"201611",61,74.25
"201612",61,69.25
"201613",49,59.75
"201614",44,53.75
"201615",39,48.25
"201616",44,44
"201617",34,40.25
"201618",29,36.5
"201619",27,33.5
"201620",33,30.75
"201621",26,28.75
"201622",25,27.75
"201623",25,27.25
"201624",23,24.75
"201625",41,28.5
"201626",26,28.75
"201627",26,29
"201628",32,31.25
"201629",30,28.5
"201630",24,28
"201631",35,30.25
"201632",35,31
"201633",30,31
"201634",31,32.75
"201635",30,31.5
"201636",29,30
"201637",25,28.75
"201638",34,29.5
"201639",24,28
"201640",28,27.75
"201641",42,32
"201642",27,30.25
"201643",31,32
"201644",29,32.25
"201645",29,29
"201646",25,28.5
"201647",29,28
"201648",28,27.75
"201649",31,28.25
"201650",27,28.75
"201651",29,28.75
"201652",22,27.25
"201701",23,25.25
"201702",22,24
"201703",34,25.25
"201704",33,28
"201705",37,31.5
"201706",34,34.5
"201707",49,38.25
"201708",30,37.5
"201709",46,39.75
"201710",40,41.25
"201711",28,36
"201712",36,37.5
"201713",32,34
"201714",42,34.5
"201715",31,35.25
"201716",30,33.75
"201717",21,31
"201718",35,29.25
"201719",30,29
"201720",28,28.5
"201721",36,32.25
"201722",33,31.75
"201723",27,31
"201724",24,30
"201725",28,28
"201726",38,29.25
"201727",38,32
"201728",38,35.5
"201729",41,38.75
"201730",49,41.5
"201731",29,39.25
"201732",49,42
"201733",33,40
"201734",40,37.75
"201735",33,38.75
"201736",36,35.5
"201737",34,35.75
"201738",39,35.5
"201739",26,33.75
"201740",34,33.25
"201741",23,30.5
"201742",42,31.25
"201743",38,34.25
"201744",41,36
"201745",33,38.5
"201746",22,33.5
"201747",28,31
"201748",32,28.75
"201749",28,27.5
"201750",44,33
"201751",35,34.75
"201752",35,35.5
"201801",39,38.25
"201802",32,35.25
"201803",35,35.25
"201804",29,33.75
"201805",41,34.25
"201806",47,38
"201807",41,39.5
"201808",58,46.75
"201809",54,50
"201810",46,49.75
"201811",40,49.5
"201812",42,45.5
"201813",28,39
"201814",39,37.25
"201815",47,39
"201816",37,37.75
"201817",40,40.75
"201818",38,40.5
"201819",30,36.25
"201820",26,33.5
"201821",34,32
"201822",38,32
"201823",30,32
"201824",37,34.75
"201825",31,34
"201826",31,32.25
"201827",30,32.25
"201828",44,34
"201829",30,33.75
"201830",37,35.25
"201831",37,37
"201832",29,33.25
"201833",43,36.5
"201834",30,34.75
"201835",28,32.5
"201836",30,32.75
"201837",28,29
"201838",27,28.25
"201839",46,32.75
"201840",39,35
"201841",34,36.5
"201842",30,37.25
"201843",41,36
"201844",38,35.75
"201845",38,36.75
"201846",22,34.75
"201847",29,31.75
"201848",24,28.25
"201849",29,26
"201850",24,26.5
"201851",37,28.5
"201852",39,32.25
"201901",36,34
"201902",43,38.75
"201903",43,40.25
"201904",47,42.25
"201905",55,47
"201906",43,47
"201907",50,48.75
"201908",52,50
"201909",39,46
"201910",44,46.25
"201911",58,48.25
"201912",44,46.25
"201913",29,43.75
"201914",40,42.75
"201915",26,34.75
"201916",34,32.25
"201917",37,34.25
"201918",34,32.75
"201919",23,32
"201920",24,29.5
"201921",41,30.5
"201922",35,30.75
"201923",38,34.5
"201924",36,37.5
"201925",34,35.75
"201926",30,34.5
"201927",44,36
"201928",26,33.5
"201929",43,35.75
"201930",34,36.75
"201931",37,35
"201932",34,37
"201933",35,35
"201934",41,36.75
"201935",30,35
"201936",42,37
"201937",34,36.75
"201938",33,34.75
"201939",30,34.75
"201940",32,32.25
"201941",27,30.5
"201942",33,30.5
"201943",35,31.75
"201944",42,34.25
"201945",38,37
"201946",27,35.5
"201947",45,38
"201948",40,37.5
"201949",27,34.75
"201950",44,39
"201951",52,40.75
"201952",37,40
"202001",48,45.25
"202002",49,46.5
"202003",37,42.75
"202004",53,46.75
"202005",53,48
"202006",43,46.5
"202007",31,45
"202008",44,42.75
"202009",37,38.75
"202010",42,38.5
"202011",38,40.25
"202012",45,40.5
"202013",29,38.5
"202014",42,38.5
"202015",33,37.25
"202016",28,33
"202017",31,33.5
"202018",28,30
"202019",32,29.75
"202020",34,31.25
"202021",33,31.75
"202022",30,32.25
"202023",25,30.5
"202024",29,29.25
"202025",24,27
"202026",24,25.5
"202027",42,29.75
"202028",31,30.25
"202029",32,32.25
"202030",29,33.5
"202031",32,31
"202032",32,31.25
"202033",21,28.5
"202034",29,28.5
"202035",25,26.75
"202036",25,25
"202037",35,28.5
"202038",36,30.25
"202039",23,29.75
"202040",39,33.25
"202041",31,32.25
"202042",23,29
"202043",32,31.25
"202044",31,29.25
"202045",35,30.25
"202046",24,30.5
"202047",33,30.75
"202048",32,31
"202049",38,31.75
"202050",36,34.75
"202051",31,34.25
"202052",35,35
"202053",35,34.25
"202101",40,35.25
"202102",38,37
"202103",40,38.25
"202104",34,38
"202105",34,36.5
"202106",34,35.5
"202107",36,34.5
"202108",30,33.5
"202109",21,30.25
"202110",26,28.25
"202111",36,28.25
"202112",22,26.25
"202113",40,31
"202114",36,33.5
"202115",37,33.75
"202116",30,35.75
"202117",33,34
"202118",23,30.75
"202119",31,29.25
"202120",33,30
"202121",62,37.25
"202122",59,46.25
"202123",49,50.75
"202124",57,56.75
"202125",52,54.25
"202126",44,50.5
"202127",34,46.75
"202128",38,42
"202129",23,34.75
"202130",28,30.75
"202131",46,33.75
"202132",30,31.75
"202133",39,35.75
"202134",31,36.5
"202135",35,33.75
"202136",36,35.25
"202137",40,35.5
"202138",32,35.75
"202139",37,36.25
"202140",31,35
"202141",33,33.25
"202142",39,35
"202143",35,34.5
"202144",34,35.25
"202145",23,32.75
"202146",25,29.25
"202147",20,25.5
"202148",26,23.5
"202149",35,26.5
"202150",34,28.75
"202151",29,31
"202152",24,30.5
"202201",47,33.5
"202202",34,33.5
"202203",29,33.5
"202204",30,35
"202205",37,32.5
"202206",42,34.5
"202207",26,33.75
"202208",51,39
"202209",38,39.25
"202210",36,37.75
"202211",28,38.25
"202212",27,32.25
"202213",29,30
"202214",23,26.75
"202215",40,29.75
"202216",34,31.5
"202217",,
"202218",,
"202219",,
"202220",,
"202221",,
"202222",,
"202223",,
"202224",,
"202225",,
"202226",,
"202227",,
"202228",,
"202229",,
"202230",,
"202231",,
"202232",,
"202233",,
"202234",,
"202235",,
"202236",,
"202237",,
"202238",,
"202239",,
"202240",,
"202241",,
"202242",,
"202243",,
"202244",,
"202245",,
"202246",,
"202247",,
"202248",,
"202249",,
"202250",,
"202251",,
"202252",,
