"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201401",22,13.25
"201402",12,13.5
"201403",21,17
"201404",7,15.5
"201405",15,13.75
"201406",17,15
"201407",24,15.75
"201408",18,18.5
"201409",13,18
"201410",15,17.5
"201411",17,15.75
"201412",7,13
"201413",16,13.75
"201414",15,13.75
"201415",10,12
"201416",13,13.5
"201417",9,11.75
"201418",7,9.75
"201419",5,8.5
"201420",6,6.75
"201421",16,8.5
"201422",6,8.25
"201423",10,9.5
"201424",13,11.25
"201425",5,8.5
"201426",4,8
"201427",4,6.5
"201428",7,5
"201429",6,5.25
"201430",20,9.25
"201431",10,10.75
"201432",9,11.25
"201433",11,12.5
"201434",8,9.5
"201435",9,9.25
"201436",9,9.25
"201437",14,10
"201438",7,9.75
"201439",11,10.25
"201440",8,10
"201441",7,8.25
"201442",7,8.25
"201443",10,8
"201444",10,8.5
"201445",7,8.5
"201446",9,9
"201447",13,9.75
"201448",7,9
"201449",4,8.25
"201450",6,7.5
"201451",8,6.25
"201452",16,8.5
"201453",6,9
"201501",19,12.25
"201502",13,13.5
"201503",10,12
"201504",14,14
"201505",14,12.75
"201506",7,11.25
"201507",10,11.25
"201508",11,10.5
"201509",16,11
"201510",12,12.25
"201511",12,12.75
"201512",11,12.75
"201513",8,10.75
"201514",11,10.5
"201515",9,9.75
"201516",14,10.5
"201517",10,11
"201518",15,12
"201519",9,12
"201520",7,10.25
"201521",9,10
"201522",9,8.5
"201523",8,8.25
"201524",9,8.75
"201525",8,8.5
"201526",13,9.5
"201527",8,9.5
"201528",15,11
"201529",13,12.25
"201530",7,10.75
"201531",9,11
"201532",11,10
"201533",8,8.75
"201534",13,10.25
"201535",2,8.5
"201536",11,8.5
"201537",7,8.25
"201538",7,6.75
"201539",9,8.5
"201540",9,8
"201541",14,9.75
"201542",14,11.5
"201543",13,12.5
"201544",9,12.5
"201545",10,11.5
"201546",18,12.5
"201547",13,12.5
"201548",8,12.25
"201549",9,12
"201550",9,9.75
"201551",8,8.5
"201552",18,11
"201601",9,11
"201602",14,12.25
"201603",16,14.25
"201604",14,13.25
"201605",16,15
"201606",26,18
"201607",29,21.25
"201608",40,27.75
"201609",23,29.5
"201610",16,27
"201611",34,28.25
"201612",14,21.75
"201613",13,19.25
"201614",19,20
"201615",16,15.5
"201616",11,14.75
"201617",14,15
"201618",14,13.75
"201619",6,11.25
"201620",7,10.25
"201621",9,9
"201622",8,7.5
"201623",7,7.75
"201624",6,7.5
"201625",15,9
"201626",4,8
"201627",12,9.25
"201628",12,10.75
"201629",4,8
"201630",4,8
"201631",9,7.25
