"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201401",339,304.25
"201402",350,316.75
"201403",337,325.5
"201404",308,333.5
"201405",357,338
"201406",389,347.75
"201407",333,346.75
"201408",388,366.75
"201409",366,369
"201410",343,357.5
"201411",370,366.75
"201412",333,353
"201413",344,347.5
"201414",308,338.75
"201415",349,333.5
"201416",299,325
"201417",275,307.75
"201418",304,306.75
"201419",289,291.75
"201420",297,291.25
"201421",253,285.75
"201422",263,275.5
"201423",289,275.5
"201424",289,273.5
"201425",249,272.5
"201426",307,283.5
"201427",291,284
"201428",292,284.75
"201429",290,295
"201430",321,298.5
"201431",310,303.25
"201432",294,303.75
"201433",285,302.5
"201434",300,297.25
"201435",294,293.25
"201436",292,292.75
"201437",275,290.25
"201438",277,284.5
"201439",258,275.5
"201440",312,280.5
"201441",298,286.25
"201442",274,285.5
"201443",284,292
"201444",276,283
"201445",245,269.75
"201446",254,264.75
"201447",268,260.75
"201448",234,250.25
"201449",261,254.25
"201450",259,255.5
"201451",264,254.5
"201452",301,271.25
"201453",288,278
"201501",309,290.5
"201502",351,312.25
"201503",349,324.25
"201504",275,321
"201505",297,318
"201506",349,317.5
"201507",340,315.25
"201508",363,337.25
"201509",341,348.25
"201510",318,340.5
"201511",382,351
"201512",336,344.25
"201513",323,339.75
"201514",351,348
"201515",309,329.75
"201516",307,322.5
"201517",301,317
"201518",348,316.25
"201519",302,314.5
"201520",279,307.5
"201521",312,310.25
"201522",278,292.75
"201523",320,297.25
"201524",361,317.75
"201525",350,327.25
"201526",347,344.5
"201527",334,348
"201528",361,348
"201529",327,342.25
"201530",306,332
"201531",298,323
"201532",295,306.5
"201533",266,291.25
"201534",271,282.5
"201535",288,280
"201536",306,282.75
"201537",327,298
"201538",302,305.75
"201539",310,311.25
"201540",300,309.75
"201541",296,302
"201542",271,294.25
"201543",297,291
"201544",296,290
"201545",292,289
"201546",275,290
"201547",259,280.5
"201548",338,291
"201549",333,301.25
"201550",316,311.5
"201551",332,329.75
"201552",304,321.25
"201601",308,315
"201602",325,317.25
"201603",379,329
"201604",417,357.25
"201605",432,388.25
"201606",499,431.75
"201607",546,473.5
"201608",526,500.75
"201609",473,511
"201610",505,512.5
"201611",436,485
"201612",402,454
"201613",401,436
"201614",389,407
"201615",388,395
"201616",356,383.5
"201617",327,365
"201618",327,349.5
"201619",321,332.75
"201620",341,329
"201621",329,329.5
"201622",329,330
"201623",310,327.25
"201624",294,315.5
"201625",325,314.5
"201626",336,316.25
"201627",324,319.75
"201628",316,325.25
"201629",318,323.5
"201630",328,321.5
"201631",322,321
"201632",329,324.25
"201633",308,321.75
"201634",319,319.5
"201635",309,316.25
"201636",291,306.75
"201637",299,304.5
"201638",299,299.5
"201639",324,303.25
"201640",323,311.25
"201641",334,320
"201642",309,322.5
"201643",320,321.5
"201644",317,320
"201645",303,312.25
"201646",352,323
"201647",351,330.75
"201648",334,335
"201649",350,346.75
"201650",367,350.5
"201651",366,354.25
"201652",351,358.5
"201701",393,369.25
"201702",347,364.25
"201703",346,359.25
"201704",371,364.25
"201705",418,370.5
"201706",403,384.5
"201707",430,405.5
"201708",410,415.25
"201709",352,398.75
"201710",375,391.75
"201711",346,370.75
"201712",332,351.25
"201713",341,348.5
"201714",377,349
"201715",331,345.25
"201716",317,341.5
"201717",342,341.75
"201718",331,330.25
"201719",360,337.5
"201720",324,339.25
"201721",322,334.25
"201722",353,339.75
"201723",343,335.5
"201724",389,351.75
"201725",331,354
"201726",410,368.25
"201727",395,381.25
"201728",432,392
"201729",429,416.5
"201730",391,411.75
"201731",428,420
