"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201732",398,411.5
"201733",404,405.25
"201734",357,396.75
"201735",348,376.75
"201736",318,356.75
"201737",370,348.25
"201738",325,340.25
"201739",382,348.75
"201740",341,354.5
"201741",338,346.5
"201742",333,348.5
"201743",340,338
"201744",314,331.25
"201745",327,328.5
"201746",289,317.5
"201747",344,318.5
"201748",329,322.25
"201749",345,326.75
"201750",354,343
"201751",378,351.5
"201752",409,371.5
"201801",432,393.25
"201802",400,404.75
"201803",464,426.25
"201804",432,432
"201805",409,426.25
"201806",503,452
"201807",521,466.25
"201808",525,489.5
"201809",447,499
"201810",453,486.5
"201811",441,466.5
"201812",402,435.75
"201813",422,429.5
"201814",380,411.25
"201815",398,400.5
"201816",400,400
"201817",334,378
"201818",374,376.5
"201819",353,365.25
"201820",334,348.75
"201821",362,355.75
"201822",361,352.5
"201823",373,357.5
"201824",355,362.75
"201825",385,368.5
"201826",368,370.25
"201827",373,370.25
"201828",374,375
"201829",360,368.75
"201830",352,364.75
"201831",366,363
"201832",371,362.25
"201833",363,363
"201834",321,355.25
"201835",352,351.75
"201836",347,345.75
"201837",377,349.25
"201838",368,361
"201839",367,364.75
"201840",362,368.5
"201841",371,367
"201842",392,373
"201843",346,367.75
"201844",368,369.25
"201845",346,363
"201846",348,352
"201847",302,341
"201848",352,337
"201849",335,334.25
"201850",339,332
"201851",374,350
"201852",372,355
"201901",433,379.5
"201902",385,391
"201903",376,391.5
"201904",400,398.5
"201905",466,406.75
"201906",414,414
"201907",453,433.25
"201908",438,442.75
"201909",432,434.25
"201910",400,430.75
"201911",402,418
"201912",408,410.5
"201913",451,415.25
"201914",417,419.5
"201915",405,420.25
"201916",397,417.5
"201917",377,399
"201918",386,391.25
"201919",357,379.25
"201920",413,383.25
"201921",391,386.75
"201922",359,380
"201923",388,387.75
"201924",392,382.5
"201925",406,386.25
"201926",391,394.25
"201927",369,389.5
"201928",406,393
"201929",433,399.75
"201930",410,404.5
"201931",399,412
"201932",377,404.75
"201933",374,390
"201934",409,389.75
"201935",397,389.25
"201936",433,403.25
"201937",433,418
"201938",407,417.5
"201939",407,420
"201940",427,418.5
"201941",375,404
"201942",396,401.25
"201943",404,400.5
"201944",384,389.75
"201945",388,393
"201946",363,384.75
"201947",356,372.75
"201948",376,370.75
"201949",422,379.25
"201950",440,398.5
"201951",455,423.25
"201952",392,427.25
"202001",385,418
"202002",425,414.25
"202003",385,396.75
"202004",460,413.75
"202005",462,433
"202006",497,451
"202007",466,471.25
"202008",475,475
"202009",409,461.75
"202010",411,440.25
"202011",365,415
"202012",353,384.5
"202013",376,376.25
"202014",371,366.25
"202015",366,366.5
"202016",347,365
"202017",293,344.25
"202018",311,329.25
"202019",335,321.5
"202020",331,317.5
"202021",281,314.5
"202022",287,308.5
"202023",301,300
"202024",313,295.5
"202025",351,313
"202026",333,324.5
"202027",354,337.75
"202028",303,335.25
"202029",326,329
"202030",363,336.5
"202031",341,333.25
"202032",309,334.75
"202033",322,333.75
"202034",347,329.75
"202035",320,324.5
"202036",344,333.25
"202037",361,343
"202038",349,343.5
"202039",383,359.25
"202040",332,356.25
"202041",327,347.75
"202042",381,355.75
"202043",376,354
"202044",340,356
"202045",349,361.5
"202046",334,349.75
"202047",349,343
"202048",395,356.75
"202049",364,360.5
"202050",387,373.75
"202051",366,378
"202052",409,381.5
"202053",361,380.75
"202101",466,400.5
"202102",463,424.75
"202103",530,455
"202104",434,473.25
"202105",449,469
"202106",440,463.25
"202107",414,434.25
"202108",459,440.5
"202109",405,429.5
"202110",379,414.25
"202111",363,401.5
"202112",359,376.5
"202113",408,377.25
"202114",337,366.75
"202115",357,365.25
"202116",356,364.5
"202117",360,352.5
"202118",396,367.25
"202119",382,373.5
"202120",416,388.5
"202121",464,414.5
"202122",458,430
"202123",439,444.25
"202124",390,437.75
"202125",367,413.5
"202126",366,390.5
"202127",339,365.5
"202128",356,357
"202129",339,350
"202130",329,340.75
"202131",318,335.5
"202132",291,319.25
"202133",343,320.25
"202134",302,313.5
"202135",341,319.25
"202136",334,330
"202137",322,324.75
"202138",329,331.5
"202139",319,326
"202140",361,332.75
"202141",316,331.25
"202142",320,329
"202143",324,330.25
"202144",324,321
"202145",338,326.5
"202146",331,329.25
"202147",324,329.25
"202148",285,319.5
"202149",380,330
"202150",371,340
"202151",363,349.75
"202152",344,364.5
"202201",424,375.5
"202202",375,376.5
"202203",366,377.25
"202204",383,387
"202205",358,370.5
"202206",413,380
"202207",394,387
"202208",432,399.25
"202209",395,408.5
"202210",398,404.75
"202211",366,397.75
"202212",357,379
"202213",367,372
"202214",365,363.75
"202215",372,365.25
"202216",365,367.25
"202217",,
"202218",,
"202219",,
"202220",,
"202221",,
"202222",,
"202223",,
"202224",,
"202225",,
"202226",,
"202227",,
"202228",,
"202229",,
"202230",,
"202231",,
"202232",,
"202233",,
"202234",,
"202235",,
"202236",,
"202237",,
"202238",,
"202239",,
"202240",,
"202241",,
"202242",,
"202243",,
"202244",,
"202245",,
"202246",,
"202247",,
"202248",,
"202249",,
"202250",,
"202251",,
"202252",,
