"死亡年週","肺炎及流感死亡人數","四週移動平均"
"200853",,
"200901",29,21.75
"200902",15,21.75
"200903",32,25
"200904",24,25
"200905",27,24.5
"200906",31,28.5
"200907",22,26
"200908",32,28
"200909",23,27
"200910",16,23.25
"200911",23,23.5
"200912",24,21.5
"200913",15,19.5
"200914",8,17.5
"200915",23,17.5
"200916",20,16.5
"200917",14,16.25
"200918",14,17.75
"200919",23,17.75
"200920",20,17.75
"200921",12,17.25
"200922",19,18.5
"200923",20,17.75
"200924",25,19
"200925",14,19.5
"200926",17,19
"200927",27,20.75
"200928",23,20.25
"200929",16,20.75
"200930",20,21.5
"200931",21,20
"200932",14,17.75
"200933",17,18
"200934",26,19.5
"200935",16,18.25
"200936",15,18.5
"200937",14,17.75
"200938",21,16.5
"200939",23,18.25
"200940",22,20
"200941",24,22.5
"200942",19,22
"200943",24,22.25
"200944",21,22
"200945",17,20.25
"200946",23,21.25
"200947",14,18.75
"200948",19,18.25
"200949",24,20
"200950",24,20.25
"200951",31,24.5
"200952",25,26
"200953",20,25
"201001",27,25.75
"201002",18,22.5
"201003",20,21.25
"201004",31,24
"201005",23,23
"201006",19,23.25
"201007",21,23.5
"201008",30,23.25
"201009",21,22.75
"201010",13,21.25
"201011",20,21
"201012",20,18.5
"201013",30,20.75
"201014",22,23
"201015",25,24.25
"201016",23,25
"201017",21,22.75
"201018",22,22.75
"201019",18,21
"201020",19,20
"201021",22,20.25
"201022",16,18.75
"201023",28,21.25
"201024",20,21.5
"201025",20,21
"201026",34,25.5
"201027",23,24.25
"201028",13,22.5
"201029",27,24.25
"201030",17,20
"201031",30,21.75
"201032",32,26.5
"201033",29,27
"201034",23,28.5
"201035",24,27
"201036",27,25.75
"201037",16,22.5
"201038",25,23
"201039",20,22
"201040",21,20.5
"201041",25,22.75
"201042",29,23.75
"201043",20,23.75
"201044",29,25.75
"201045",25,25.75
"201046",19,23.25
"201047",23,24
"201048",16,20.75
"201049",23,20.25
"201050",42,26
"201051",25,26.5
"201052",29,29.75
"201101",33,32.25
"201102",35,30.5
"201103",30,31.75
"201104",30,32
"201105",59,38.5
"201106",47,41.5
"201107",46,45.5
"201108",40,48
"201109",40,43.25
"201110",35,40.25
"201111",27,35.5
"201112",31,33.25
"201113",36,32.25
"201114",32,31.5
"201115",33,33
"201116",39,35
"201117",29,33.25
"201118",24,31.25
"201119",32,31
"201120",21,26.5
"201121",36,28.25
"201122",22,27.75
"201123",35,28.5
"201124",27,30
"201125",19,25.75
"201126",20,25.25
"201127",30,24
"201128",19,22
"201129",21,22.5
"201130",25,23.75
"201131",24,22.25
"201132",17,21.75
"201133",18,21
"201134",26,21.25
"201135",24,21.25
"201136",22,22.5
"201137",19,22.75
"201138",26,22.75
"201139",22,22.25
"201140",27,23.5
"201141",22,24.25
"201142",22,23.25
"201143",31,25.5
"201144",27,25.5
"201145",28,27
"201146",17,25.75
"201147",19,22.75
"201148",27,22.75
"201149",26,22.25
"201150",20,23
"201151",37,27.5
"201152",26,27.25
"201201",32,28.75
"201202",30,31.25
"201203",26,28.5
"201204",41,32.25
"201205",37,33.5
"201206",43,36.75
"201207",30,37.75
"201208",24,33.5
"201209",36,33.25
"201210",21,27.75
"201211",35,29
"201212",21,28.25
"201213",32,27.25
"201214",28,29
"201215",27,27
"201216",22,27.25
"201217",25,25.5
"201218",21,23.75
"201219",25,23.25
"201220",18,22.25
"201221",21,21.25
"201222",21,21.25
"201223",19,19.75
"201224",29,22.5
"201225",24,23.25
"201226",25,24.25
"201227",22,25
"201228",29,25
"201229",37,28.25
"201230",20,27
"201231",31,29.25
"201232",24,28
"201233",28,25.75
"201234",18,25.25
"201235",29,24.75
"201236",23,24.5
"201237",23,23.25
"201238",20,23.75
"201239",18,21
"201240",27,22
"201241",26,22.75
"201242",21,23
"201243",20,23.5
"201244",20,21.75
"201245",21,20.5
"201246",15,19
"201247",22,19.5
